,analyzer,test_file,nr_utterances,no_triples,correct_triples,incorrect_triples,triple_recall,triple_precision,total triple elements,correct triple elements,incorrect triple elements,recall triple elements,precision triple elements,correct_subjects,incorrect_subjects,subjects_recall,subjects_precision,correct_objects,incorrect_objects,objects_recall,objects_precision,correct_predicates,incorrect_predicates,predicates_recall,predicates_precision,correct_perspectives,incorrect_perspectives,perspectives_recall,perspectives_precision
6,openIE,./data/feelings.txt,8,0,0,8,0.0,0.0,24,14,10,37.333333333333336,0.583333333333333,4,4,50.0,50.0,8,0,100.0,100.0,2,6,25.0,25.0,0,0,0.0,0.0
7,openIE,./data/locations.txt,13,0,0,13,0.0,0.0,39,9,30,39.0,0.23076923076923,9,4,69.23076923076923,69.23076923076923,0,13,0.0,0.0,0,13,0.0,0.0,0,0,0.0,0.0
8,openIE,./data/professions.txt,7,0,0,7,0.0,0.0,21,9,12,21.0,0.42857142857142805,3,4,42.857142857142854,42.857142857142854,6,1,85.71428571428571,85.71428571428571,0,7,0.0,0.0,0,0,0.0,0.0
0,LLAMA3.2,./data/statements.txt,88,30,11,77,12.5,12.5,264,91,173,34.46969696969697,34.46969696969697,40,48,45.45454545454545,45.45454545454545,32,56,36.36363636363637,36.36363636363637,19,69,21.59090909090909,21.59090909090909,0,0,0.0,0.0
1,LLAMA3.2,./data/verb-questions.txt,63,5,8,55,12.698412698412698,12.698412698412698,189,83,106,43.91534391534391,43.91534391534391,22,41,34.92063492063492,34.92063492063492,32,31,50.79365079365079,50.79365079365079,29,34,46.03174603174603,46.03174603174603,0,0,0.0,0.0
2,LLAMA3.2,./data/wh-questions.txt,66,0,10,56,15.151515151515152,15.151515151515152,198,102,96,51.515151515151516,51.515151515151516,29,37,43.93939393939394,43.93939393939394,49,17,74.24242424242425,74.24242424242425,24,42,36.36363636363637,36.36363636363637,0,0,0.0,0.0
3,LLAMA3.2,./data/perspective.txt,28,17,3,25,10.714285714285714,10.714285714285714,84,20,64,23.809523809523807,23.809523809523807,8,20,28.57142857142857,28.57142857142857,7,21,25.0,25.0,5,23,17.857142857142858,17.857142857142858,0,21,0.0,0.0
4,LLAMA3.2,./data/kinship-friends.txt,34,6,0,34,0.0,0.0,102,15,87,14.705882352941178,14.705882352941178,14,20,41.17647058823529,41.17647058823529,1,33,2.941176470588235,2.941176470588235,0,34,0.0,0.0,0,0,0.0,0.0
5,LLAMA3.2,./data/activities.txt,24,10,0,24,0.0,0.0,72,14,58,19.444444444444446,19.444444444444446,13,11,54.166666666666664,54.166666666666664,1,23,4.166666666666666,4.166666666666666,0,24,0.0,0.0,0,0,0.0,0.0
6,LLAMA3.2,./data/feelings.txt,8,3,1,7,12.5,12.5,24,7,17,29.166666666666668,29.166666666666668,5,3,62.5,62.5,1,7,12.5,12.5,1,7,12.5,12.5,0,0,0.0,0.0
7,LLAMA3.2,./data/locations.txt,13,11,0,13,0.0,0.0,39,4,35,10.256410256410255,10.256410256410255,2,11,15.384615384615385,15.384615384615385,2,11,15.384615384615385,15.384615384615385,0,13,0.0,0.0,0,0,0.0,0.0
8,LLAMA3.2,./data/professions.txt,7,4,0,7,0.0,0.0,21,5,16,23.809523809523807,23.809523809523807,3,4,42.857142857142854,42.857142857142854,1,6,14.285714285714285,14.285714285714285,1,6,14.285714285714285,14.285714285714285,0,0,0.0,0.0
