,analyzer,test_file,nr_utterances,no_triples,correct_triples,incorrect_triples,triple_recall,triple_precision,total triple elements,correct triple elements,incorrect triple elements,recall triple elements,precision triple elements,correct_subjects,incorrect_subjects,subjects_recall,subjects_precision,correct_objects,incorrect_objects,objects_recall,objects_precision,correct_predicates,incorrect_predicates,predicates_recall,predicates_precision,correct_perspectives,incorrect_perspectives,perspectives_recall,perspectives_precision
2,spaCy,./data/wh-questions.txt,66,64,2,64,3.03030303030303,3.03030303030303,198,6,192,132.0,0.030303030303030002,2,64,3.03030303030303,3.03030303030303,2,64,3.03030303030303,3.03030303030303,2,64,3.03030303030303,3.03030303030303,0,0,0.0,0.0
3,spaCy,./data/perspective.txt,28,13,10,18,35.714285714285715,35.714285714285715,84,38,46,354.66666666666663,0.45238095238095205,15,13,53.57142857142857,53.57142857142857,11,17,39.285714285714285,39.285714285714285,12,16,42.857142857142854,42.857142857142854,0,36,0.0,0.0
4,spaCy,./data/kinship-friends.txt,34,8,0,34,0.0,0.0,102,10,92,113.33333333333334,0.09803921568627401,10,24,29.411764705882355,29.411764705882355,0,34,0.0,0.0,0,34,0.0,0.0,0,0,0.0,0.0
5,spaCy,./data/activities.txt,24,5,0,24,0.0,0.0,72,36,36,288.0,0.5,18,6,75.0,75.0,18,6,75.0,75.0,0,24,0.0,0.0,0,0,0.0,0.0
6,spaCy,./data/feelings.txt,8,0,4,4,50.0,50.0,24,20,4,53.333333333333336,0.833333333333333,8,0,100.0,100.0,8,0,100.0,100.0,4,4,50.0,50.0,0,0,0.0,0.0
7,spaCy,./data/locations.txt,13,0,0,13,0.0,0.0,39,16,23,69.33333333333333,0.41025641025641,13,0,100.0,100.0,0,13,0.0,0.0,3,10,23.076923076923077,23.076923076923077,0,0,0.0,0.0
8,spaCy,./data/professions.txt,7,0,2,5,28.57142857142857,28.57142857142857,21,15,6,35.0,0.7142857142857141,7,0,100.0,100.0,6,1,85.71428571428571,85.71428571428571,2,5,28.57142857142857,28.57142857142857,0,0,0.0,0.0
0,openIE,./data/statements.txt,88,17,0,88,0.0,0.0,264,58,206,1701.3333333333333,0.21969696969696903,29,59,32.95454545454545,32.95454545454545,22,66,25.0,25.0,7,81,7.954545454545454,7.954545454545454,0,0,0.0,0.0
1,openIE,./data/verb-questions.txt,63,15,0,63,0.0,0.0,189,19,170,399.0,0.10052910052910001,8,55,12.698412698412698,12.698412698412698,11,52,17.46031746031746,17.46031746031746,0,63,0.0,0.0,0,0,0.0,0.0
2,openIE,./data/wh-questions.txt,66,58,0,66,0.0,0.0,198,4,194,88.0,0.020202020202020003,1,65,1.5151515151515151,1.5151515151515151,3,63,4.545454545454546,4.545454545454546,0,66,0.0,0.0,0,0,0.0,0.0
3,openIE,./data/perspective.txt,28,19,0,28,0.0,0.0,84,12,72,112.0,0.14285714285714202,7,21,25.0,25.0,5,23,17.857142857142858,17.857142857142858,0,28,0.0,0.0,0,15,0.0,0.0
4,openIE,./data/kinship-friends.txt,34,0,0,34,0.0,0.0,102,13,89,147.33333333333331,0.12745098039215602,12,22,35.294117647058826,35.294117647058826,1,33,2.941176470588235,2.941176470588235,0,34,0.0,0.0,0,0,0.0,0.0
5,openIE,./data/activities.txt,24,5,0,24,0.0,0.0,72,21,51,168.0,0.291666666666666,6,18,25.0,25.0,15,9,62.5,62.5,0,24,0.0,0.0,0,0,0.0,0.0
6,openIE,./data/feelings.txt,8,0,0,8,0.0,0.0,24,14,10,37.333333333333336,0.583333333333333,4,4,50.0,50.0,8,0,100.0,100.0,2,6,25.0,25.0,0,0,0.0,0.0
7,openIE,./data/locations.txt,13,0,0,13,0.0,0.0,39,9,30,39.0,0.23076923076923,9,4,69.23076923076923,69.23076923076923,0,13,0.0,0.0,0,13,0.0,0.0,0,0,0.0,0.0
8,openIE,./data/professions.txt,7,0,0,7,0.0,0.0,21,9,12,21.0,0.42857142857142805,3,4,42.857142857142854,42.857142857142854,6,1,85.71428571428571,85.71428571428571,0,7,0.0,0.0,0,0,0.0,0.0
