,analyzer,test_file,nr_utterances,no_triples,correct_triples,incorrect_triples,triple_recall,triple_precision,total triple elements,correct triple elements,incorrect triple elements,recall triple elements,precision triple elements,correct_subjects,incorrect_subjects,subjects_recall,subjects_precision,correct_objects,incorrect_objects,objects_recall,objects_precision,correct_predicates,incorrect_predicates,predicates_recall,predicates_precision,correct_perspectives,incorrect_perspectives,perspectives_recall,perspectives_precision
0,spaCy,./data/statements.txt,87,38,27,60,31.03448275862069,31.03448275862069,261,115,146,44.06130268199234,44.06130268199234,37,50,42.5287356321839,42.5287356321839,37,50,42.5287356321839,42.5287356321839,41,46,47.12643678160919,47.12643678160919,0,0,0.0,0.0
1,spaCy,./data/verb-questions.txt,48,20,14,34,29.166666666666668,29.166666666666668,144,69,75,47.91666666666667,47.91666666666667,25,23,52.083333333333336,52.083333333333336,16,32,33.33333333333333,33.33333333333333,28,20,58.333333333333336,58.333333333333336,0,0,0.0,0.0
2,spaCy,./data/wh-questions.txt,58,56,1,57,1.7241379310344822,1.7241379310344822,174,4,170,2.298850574712643,2.298850574712643,2,56,3.448275862068965,3.448275862068965,1,57,1.7241379310344822,1.7241379310344822,1,57,1.7241379310344822,1.7241379310344822,0,0,0.0,0.0
3,spaCy,./data/perspective.txt,28,15,10,18,35.714285714285715,35.714285714285715,84,36,48,42.857142857142854,42.857142857142854,13,15,46.42857142857143,46.42857142857143,10,18,35.714285714285715,35.714285714285715,13,15,46.42857142857143,46.42857142857143,0,30,0.0,0.0
4,spaCy,./data/kinship-friends.txt,34,7,0,34,0.0,0.0,102,11,91,10.784313725490197,10.784313725490197,11,23,32.35294117647059,32.35294117647059,0,34,0.0,0.0,0,34,0.0,0.0,0,0,0.0,0.0
5,spaCy,./data/activities.txt,24,5,0,24,0.0,0.0,72,36,36,50.0,50.0,18,6,75.0,75.0,18,6,75.0,75.0,0,24,0.0,0.0,0,0,0.0,0.0
6,spaCy,./data/feelings.txt,8,0,8,0,100.0,100.0,24,24,0,100.0,100.0,8,0,100.0,100.0,8,0,100.0,100.0,8,0,100.0,100.0,0,0,0.0,0.0
7,spaCy,./data/locations.txt,13,0,0,13,0.0,0.0,39,22,17,56.41025641025641,56.41025641025641,13,0,100.0,100.0,0,13,0.0,0.0,9,4,69.23076923076923,69.23076923076923,0,0,0.0,0.0
8,spaCy,./data/professions.txt,7,0,4,3,57.14285714285714,57.14285714285714,21,18,3,85.71428571428571,85.71428571428571,7,0,100.0,100.0,6,1,85.71428571428571,85.71428571428571,5,2,71.42857142857143,71.42857142857143,0,0,0.0,0.0
0,LLM_qwen2.5,./data/statements.v2.txt,87,0,57,30,65.51724137931035,65.51724137931035,261,210,51,80.45977011494253,80.45977011494253,76,11,87.35632183908046,87.35632183908046,67,20,77.01149425287356,77.01149425287356,67,20,77.01149425287356,77.01149425287356,0,0,0.0,0.0
0,LLM_llama3.2,./data/statements.v2.txt,87,0,34,53,39.08045977011494,39.08045977011494,261,169,92,64.75095785440614,64.75095785440614,64,23,73.5632183908046,73.5632183908046,58,29,66.66666666666666,66.66666666666666,47,40,54.02298850574713,54.02298850574713,0,0,0.0,0.0
0,LLM_llama3.2,./data/perspective.txt,28,0,11,17,39.285714285714285,39.285714285714285,84,48,36,57.14285714285714,57.14285714285714,13,15,46.42857142857143,46.42857142857143,19,9,67.85714285714286,67.85714285714286,16,12,57.14285714285714,57.14285714285714,0,66,0.0,0.0
1,LLM,./data/kinship-friends.txt,34,0,0,34,0.0,0.0,102,14,88,13.725490196078432,13.725490196078432,12,22,35.294117647058826,35.294117647058826,2,32,5.88235294117647,5.88235294117647,0,34,0.0,0.0,0,0,0.0,0.0
2,LLM,./data/activities.txt,24,0,0,24,0.0,0.0,72,26,46,36.11111111111111,36.11111111111111,12,12,50.0,50.0,14,10,58.333333333333336,58.333333333333336,0,24,0.0,0.0,0,0,0.0,0.0
3,LLM,./data/feelings.txt,8,0,3,5,37.5,37.5,24,17,7,70.83333333333334,70.83333333333334,6,2,75.0,75.0,5,3,62.5,62.5,6,2,75.0,75.0,0,0,0.0,0.0
4,LLM,./data/locations.txt,13,0,0,13,0.0,0.0,39,25,14,64.1025641025641,64.1025641025641,12,1,92.3076923076923,92.3076923076923,0,13,0.0,0.0,13,0,100.0,100.0,0,0,0.0,0.0
5,LLM,./data/professions.txt,7,0,1,6,14.285714285714285,14.285714285714285,21,14,7,66.66666666666666,66.66666666666666,5,2,71.42857142857143,71.42857142857143,7,0,100.0,100.0,2,5,28.57142857142857,28.57142857142857,0,0,0.0,0.0
