,analyzer,test_file,nr_utterances,no_triples,correct_triples,incorrect_triples,triple_recall,triple_precision,correct_subjects,incorrect_subjects,subjects_recall,subjects_precision,correct_objects,incorrect_objects,objects_recall,objects_precision,correct_predicates,incorrect_predicates,predicates_recall,predicates_precision,correct_perspectives,incorrect_perspectives,perspectives_recall,perspectives_precision
4,openIE,./data/feelings.txt,8,0,0,8,0.0,0.0,4,4,50.0,50.0,8,0,100.0,100.0,2,6,25.0,25.0,0,0,0.0,0.0
5,openIE,./data/locations.txt,13,0,0,13,0.0,0.0,9,4,69.23076923076923,69.23076923076923,0,13,0.0,0.0,0,13,0.0,0.0,0,0,0.0,0.0
6,openIE,./data/professions.txt,7,0,0,7,0.0,0.0,3,4,42.857142857142854,42.857142857142854,6,1,85.71428571428571,85.71428571428571,0,7,0.0,0.0,0,0,0.0,0.0
0,CFG,./data/statements.txt,88,2,24,64,27.27272727272727,27.27272727272727,34,54,38.63636363636363,38.63636363636363,59,29,67.04545454545455,67.04545454545455,49,39,55.68181818181818,55.68181818181818,0,0,0.0,0.0
1,CFG,./data/verb-questions.txt,63,0,29,34,46.03174603174603,46.03174603174603,55,8,87.3015873015873,87.3015873015873,50,13,79.36507936507937,79.36507936507937,33,30,52.38095238095239,52.38095238095239,0,0,0.0,0.0
2,CFG,./data/wh-questions.txt,66,2,21,45,31.818181818181817,31.818181818181817,38,28,57.57575757575758,57.57575757575758,58,8,87.87878787878788,87.87878787878788,21,45,31.818181818181817,31.818181818181817,0,0,0.0,0.0
3,CFG,./data/perspective.txt,28,0,8,20,28.57142857142857,28.57142857142857,15,13,53.57142857142857,53.57142857142857,13,15,46.42857142857143,46.42857142857143,9,19,32.142857142857146,32.142857142857146,44,22,157.14285714285714,66.66666666666666
4,CFG,./data/kinship-friends.txt,34,2,0,34,0.0,0.0,10,24,29.411764705882355,29.411764705882355,1,33,2.941176470588235,2.941176470588235,0,34,0.0,0.0,0,0,0.0,0.0
5,CFG,./data/activities.txt,24,0,0,24,0.0,0.0,6,18,25.0,25.0,8,16,33.33333333333333,33.33333333333333,0,24,0.0,0.0,0,0,0.0,0.0
6,CFG,./data/feelings.txt,8,0,2,6,25.0,25.0,4,4,50.0,50.0,8,0,100.0,100.0,4,4,50.0,50.0,0,0,0.0,0.0
7,CFG,./data/locations.txt,13,0,9,4,69.23076923076923,69.23076923076923,9,4,69.23076923076923,69.23076923076923,13,0,100.0,100.0,13,0,100.0,100.0,0,0,0.0,0.0
8,CFG,./data/professions.txt,7,0,2,5,28.57142857142857,28.57142857142857,3,4,42.857142857142854,42.857142857142854,4,3,57.14285714285714,57.14285714285714,5,2,71.42857142857143,71.42857142857143,0,0,0.0,0.0
